"id","name","entity_description","picture_id","picture_description","pic_url","location_name","location_description","coordinates","place_image"
"693"," Aleksić von Maina Jovan (1783-1861)","Jovan Aleksić von Maina (1783-1861) was an Austrian Field marshal-lieutenant and nobleman of Serbian origin. Aleksić was born in Kotor (today Montenegro, in Italian Cattaro) in a noble family, whose ancestors had moved from the Montenegrin mountains to the Boka Kotorska in 1621. The family of Aleksić von Maina bore five captains, two majors, two colonels and two generals. They served in the armed forces of Venice, France and Austria. Jovan's uncle Rade Maina was promoted to the rank of General in the Republic of the Venice in 1779. Jovan Aleksić von Maina was, following the service in the Venetian army, also in the French army under Napoleon Bonaparte (1769-1821). From 1815 he joined the Austrian army, where he was promoted to the rank of General in Sremska Mitrovica in 1835. He was awarded the Order of the Iron Crown 3rd grade. He was ennobled and elevated to knighthood (Ritterstand) in 1840. After his retirement in 1844, when he was promoted to the rank of Field marshal-lieutenant, he moved to Vienna, where he stayed for the next eleven years. He lived at first (already before 1853) in Johannesgasse 969 (the so-called ""Fleischhof"", today Johannesgasse 1, 1010 Vienna).  His wife Marija Aleksić von Maina (born Klaić) died in this house on 21 December 1857 at the age of 54. She was buried on the St. Marx cemetery, then exhumated and transferred to Hietzing cemetery in 1899. Jovan Aleksić von Maina died on 19 February 1861 in the house No. 618 (""Trattnerhof"", Graben 29-29a / Trattnerhof 1/2, 1010 Vienna) and was buried in the Orthodox part of the St. Marx Cemetery (1030 Vienna) on 22 February 1861.","","","","Trattnerhof","Here lived and died Austrian Field marshal-lieutenant and nobleman of Serbian origin Jovan Aleksić von Maina (1783-1861) on 19 February 1861. The building was demolished in 1911 and a new one was erected.","16.370565583929402 48.2085120029001",""
"4906","Leonhardi Elisabeth Baronin von (1828-1915)","Baronin Elisabeth von Leonhardi (1828-1915), the sister of the Serbian General Major and nobleman Djordje Stratimirović (1822-1908), was born on 28 July 1828 in Kulpin (today Serbia). She married Baron Franz von Leonhardi (1815-1883), an Austrian Field marshal-lieutenant, on 18 September 1847 in Kulpin. They had a son, Theodor von Leonhardi (1856-1927), also a Field marshal-lieutenant, and a daughter, Marianne Ronay de Zombor (1868-1933). Elisabeth von Leonhardi died in Greisenasyl (today St. Carolusheim) in Gentzgasse 104 (1180 Vienna) at the age of 87 on 7 September 1915. She was buried in the family tomb in Bratislava four days later.","","",""," Greisenasyl (St. Carolusheim)","Baronin Elisabeth von Leonhardi (1828-1915) died here on 7 September 1915.","16.3360670115799 48.228942424185703","https://orthodoxes-wien.oeaw.ac.at/repository/pic/5764"
"4906","Leonhardi Elisabeth Baronin von (1828-1915)","Baronin Elisabeth von Leonhardi (1828-1915), the sister of the Serbian General Major and nobleman Djordje Stratimirović (1822-1908), was born on 28 July 1828 in Kulpin (today Serbia). She married Baron Franz von Leonhardi (1815-1883), an Austrian Field marshal-lieutenant, on 18 September 1847 in Kulpin. They had a son, Theodor von Leonhardi (1856-1927), also a Field marshal-lieutenant, and a daughter, Marianne Ronay de Zombor (1868-1933). Elisabeth von Leonhardi died in Greisenasyl (today St. Carolusheim) in Gentzgasse 104 (1180 Vienna) at the age of 87 on 7 September 1915. She was buried in the family tomb in Bratislava four days later.","","",""," Greisenasyl (St. Carolusheim)","Baronin Elisabeth von Leonhardi (1828-1915) died here on 7 September 1915.","16.3360670115799 48.228942424185703","https://orthodoxes-wien.oeaw.ac.at/repository/pic/5764"
"338","Milanković Uroš (1800-1849) ","Uroš Milanković (1800-1849) was born in Dalj (today Croatia) in 1800. He was the brother of Milutin Milanković's grandfather. Uroš Milanković studied Philosophy in Szeged (today Hungary) and later he studied Law at the University of Vienna. He worked for the duration of one year as a lawyer at the court in Vienna and later as a lawyer in the Military Frontier. He published several books in German and Serbian in Vienna, e.g. ""Weltorganismus und System des gesammten Lebens: dargestellt in einzelnen Geschöpfen und in einzelnen Wirkungen, als allgemeine Thätigkeit der gesammten nichtsinnlichen, sinnlichen und geistigen Natur, in ihrem Zusammenhange mit der Kritik der Einheit über das Unvereinbare"" (in the publishing house of the Armenian Mechitarist Monastery 1843), ""Organismus des Weltalls und System des gesammten Lebens, oder Polarsystem der physischen und geistigen Natur"" (in the publishing house of the Armenian Mechitarist Monastery 1845) and ""Просвјета човека"" (in the publishing house of the Armenian Mechitarist Monastery 1847). After his retirement in 1835 he lived in Trieste and Vienna. Uroš Milanković died in Vienna in Stiegengasse 12 (1060 Vienna) on 27 December 1849 and was buried two days later in the Orthodox part of the St. Marx Cemetery (1030 Vienna).","3470","Property of Digitalna Biblioteka Matice Srpske

http://digital.bms.rs/ebiblioteka/publications/view/3359","https://orthodoxes-wien.oeaw.ac.at/repository/pic/3470","Apartment of Uroš Milanković","Uroš Milanković died here on 27 December 1849 and was buried two days later in the Orthodox part of the St. Marx Cemetery (1030 Vienna). The building does not exist anymore.","16.357717802748098 48.198415307615598",""
"338","Milanković Uroš (1800-1849) ","Uroš Milanković (1800-1849) was born in Dalj (today Croatia) in 1800. He was the brother of Milutin Milanković's grandfather. Uroš Milanković studied Philosophy in Szeged (today Hungary) and later he studied Law at the University of Vienna. He worked for the duration of one year as a lawyer at the court in Vienna and later as a lawyer in the Military Frontier. He published several books in German and Serbian in Vienna, e.g. ""Weltorganismus und System des gesammten Lebens: dargestellt in einzelnen Geschöpfen und in einzelnen Wirkungen, als allgemeine Thätigkeit der gesammten nichtsinnlichen, sinnlichen und geistigen Natur, in ihrem Zusammenhange mit der Kritik der Einheit über das Unvereinbare"" (in the publishing house of the Armenian Mechitarist Monastery 1843), ""Organismus des Weltalls und System des gesammten Lebens, oder Polarsystem der physischen und geistigen Natur"" (in the publishing house of the Armenian Mechitarist Monastery 1845) and ""Просвјета човека"" (in the publishing house of the Armenian Mechitarist Monastery 1847). After his retirement in 1835 he lived in Trieste and Vienna. Uroš Milanković died in Vienna in Stiegengasse 12 (1060 Vienna) on 27 December 1849 and was buried two days later in the Orthodox part of the St. Marx Cemetery (1030 Vienna).","3470","Property of Digitalna Biblioteka Matice Srpske

http://digital.bms.rs/ebiblioteka/publications/view/3359","https://orthodoxes-wien.oeaw.ac.at/repository/pic/3470","Apartment of Uroš Milanković","Uroš Milanković died here on 27 December 1849 and was buried two days later in the Orthodox part of the St. Marx Cemetery (1030 Vienna). The building does not exist anymore.","16.357717802748098 48.198415307615598",""
"1541","Nikolić de Rudna Mihajlo (1841-1916)","Baron Mihajlo Nikolić de Rudna (1841-1916) was a landowner and house owner in Vienna and the son of Baron Jovan Nikolić de Rudna (1810-1880) and Jelisaveta-Savka Obrenović (1814-1848), the daughter of the Serbian Prince Miloš Obrenović (1780-1860). He was married to Gräfin Marianne Kinsky von Wchinitz und Tettau (1854-1938) from 1877 until 1880. An interesting episode occurred on 22 March 1876, when Baron Mihajlo Nikolić de Rudna paid a fine of 10 florins, because of driving too fast with his carriage through Kärntnerstraße (1010 Vienna). In February 1882 he bought the house in Hegelgasse 8 (1010 Vienna) for 410,000 florins. Mihajlo Nikolić de Rudna was the owner of the building in Belvederegasse 6-8 (1040 Vienna) from 1896. He adopted Johann Thierfelder (1884-?) in 1905 and gave him the epithet ""von Obrenow"" as a reminiscence that the family of Nikolić was a descendant of Prince Miloš Obrenović (1780-1860). He was also landowner in Banat with 4,630 acres. Baron Mihajlo Nikolić de Rudna died in Vienna in Sanatorium Löw on 21 November 1916.","4769","Private collection","https://orthodoxes-wien.oeaw.ac.at/repository/pic/4769","House of Baron Mihajlo Nikolić de Rudna","This house was bought by Baron Mihajlo Nikolić de Rudna (1841-1916), a landowner and house owner, in Vienna.","16.3780274894089 48.1918821430965","https://orthodoxes-wien.oeaw.ac.at/repository/pic/3428"
"4005","Stanković Svetozar ","Svetozar Stanković was a Serbian merchant in Vienna. From 1856 to 1862 he was a business partner of Vasilije Nedeljković in the Company “Nedelkovits & Stankovits”. Its address was Lazzenhof 1 (1010 Vienna). From 1863 to 1864 he was the owner of the Company ""S.A. Stankovits"", but went bankrupt. Svetozar Stanković donated 300 florins and his wife Julijana Stanković (né Adamović) 100 florins for the building of the Serbian Orthodox Church of St. Sava in Vienna in 1862.","","","","Bauernmarkt 21","Here was the seat of several companies:
""Bosanetz & Welicskovits"" (1850-1866)
""Millicsevits Georg"" (1869-1890)
 ""Nedelkovits & Stankovits"" (1856-1862)
The original building was demolished and a new one was built in 1910.","16.374090006574999 48.211232478740897",""
"2118","Jovanović Nikola (1873-1957)","Nikola Jovanović (1873-1957) was born in Podravska Slatina (today Croatia) on 1 July 1873. He married Josefa Olga Berneher in the Serbian Orthodox Church of St. Sava in Vienna on 18 June 1903. His address was Piaristengasse 7 (1080 Vienna). Marta Jovanović, the daughter of Nikola Jovanović, was born on 13 September 1903 and baptised in the St. Sava Church on 4 October. His younger daughter Olga was born on 15 January 1906 and also baptised in the St. Sava Church on 25 January. Jovanović's Company in Vienna was founded in 1901 and still exists. Since its foundation until the end of the Second World War (1945) the shop was located in Piaristengasse 7 (1080 Vienna). Nikola Jovanović moved to the Kingdom of Yugoslavia in the 1930s and died in Zagreb on 20 September 1957. He was buried in Zagreb's Mirogoj Cemetery. Among more than one hundred shops of Serbian merchants in Vienna in the 19th and at the beginning of the 20th centuries the only one, which exists nowadays, is the Jovanović furrier shop. It is located since the end of the 1940s in Weihburggasse 3 and 9 (1010 Vienna) and is run by Jovanović's grandchildren.","5299","Property of Mrs. Olga Plank.","https://orthodoxes-wien.oeaw.ac.at/repository/pic/5299","Furrier's Shop of Nikola Jovanović","Nikola Jovanović was a furrier, who founded his company in Vienna in 1901, which still exists. Since its foundation until the end of the Second World War (1945) the shop was located in Piaristengasse 7 (1080 Vienna). The building does not exist anymore. Among more than one hundred shops of Serbian merchants in Vienna in the 19th and at the beginning of 20th centuries, the only one, which exists nowadays, is the Jovanović furrier shop. It is located since the 1940s in Weihburggasse 3 and 9 (1010 Vienna) and is run by Jovanović's granddaughter.","16.351023009046902 48.206892518306802",""
"1159","Putnik Mojsije (1728-1790) ","Mojsije Putnik (1728-1790) was Metropolitan of Sremski Karlovci (today Serbia) from 1782 to his death in 1790. He had the title of Privy Councillor (""Geheimrat"") and was also awarded the Order of Saint Stephen. He died in Kohlmarkt 144 (today Kohlmarkt 8, 1010 Vienna, the original building does not exist anymore) on 9 July 1790.","2398","https://commons.wikimedia.org/wiki/Category:Mojsije_Putnik#/media/File:Mojsej_Putnik.jpg","https://orthodoxes-wien.oeaw.ac.at/repository/pic/2398","Place of Death of Mojsije Putnik","Here died Mojsije Putnik (1728-1790), Metropolitan of Sremski Karlovci (today Serbia), on 9 July 1790. The building does not exist anymore.","16.367550780996702 48.208883797874499",""
"1159","Putnik Mojsije (1728-1790) ","Mojsije Putnik (1728-1790) was Metropolitan of Sremski Karlovci (today Serbia) from 1782 to his death in 1790. He had the title of Privy Councillor (""Geheimrat"") and was also awarded the Order of Saint Stephen. He died in Kohlmarkt 144 (today Kohlmarkt 8, 1010 Vienna, the original building does not exist anymore) on 9 July 1790.","2398","https://commons.wikimedia.org/wiki/Category:Mojsije_Putnik#/media/File:Mojsej_Putnik.jpg","https://orthodoxes-wien.oeaw.ac.at/repository/pic/2398","Place of Death of Mojsije Putnik","Here died Mojsije Putnik (1728-1790), Metropolitan of Sremski Karlovci (today Serbia), on 9 July 1790. The building does not exist anymore.","16.367550780996702 48.208883797874499",""
